,file_name,ind,altitude.raw,TL.px,HF.px,HD.px,image_width,notes,image_path
21,Gal2023_DJIMini2_20230215_094557_155.355.png,2,16.6,535.35,NA,342.9,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_155.355.png
22,Gal2023_DJIMini2_20230215_094557_249.516.png,2,17,555.97,152.8,363.13,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_094557/Gal2023_DJIMini2_20230215_094557_249.516.png
23,Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001.png,1,25.4,559.88,NA,364.86,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_101509/Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001.png
24,Gal2023_DJIMini2_20230215_101509_271.905.png,1,44.1,327.5,NA,209.1,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_101509/Gal2023_DJIMini2_20230215_101509_271.905.png
25,Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png,1,30.5,522.33,165.54,345.87,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png
26,Gal2023_DJIMini2_20230215_145125_367.767.png,1,29.6,531.32,154.73,351.13,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_367.767.png
27,Gal2023_DJIMini2_20230215_145125_542.509.png,1,30,538.02,172.41,352.81,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_542.509.png
28,Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png,2,30.5,491.31,133.82,323.01,1920,"cj
",D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png
29,Gal2023_DJIMini2_20230215_145125_489.756.png,2,11,1284.66,386.25,857.05,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_489.756.png
30,Gal2023_DJIMini2_20230215_145125_542.509.png,2,30,498.78,144.28,327.79,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_145125/Gal2023_DJIMini2_20230215_145125_542.509.png
31,Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003.png,1,31.2,518.37,151.37,342.91,1920,"aj
",D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/ind1/Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003.png
32,Gal2023_DJIMini2_20230215_152449_230.330.png,1,31.1,518,164.65,340.6,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_230.330.png
33,Gal2023_DJIMini2_20230215_152449_414.915.png,1,31.4,504.73,NA,332.78,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_414.915.png
34,Gal2023_DJIMini2_20230215_152449.MP4_00_06_54_vlc00005.png,2,31.4,467.45,132.95,306.35,1920,"aj
",D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/ind2/Gal2023_DJIMini2_20230215_152449.MP4_00_06_54_vlc00005.png
35,Gal2023_DJIMini2_20230215_152449_414.915.png,2,31.4,467.81,132.44,310.96,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_414.915.png
36,Gal2023_DJIMini2_20230215_152449_445.612.png,2,31.3,486.72,143.09,316.39,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_152449/Gal2023_DJIMini2_20230215_152449_445.612.png
37,Gal2023_DJIMini2_20230215_155136_106.873.png,1,13.9,933.45,315.26,611.65,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/Gal2023_DJIMini2_20230215_155136_106.873.png
38,Gal2023_DJIMini2_20230215_155136_126.059.png,1,10.8,1043.62,320.15,674.81,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/Gal2023_DJIMini2_20230215_155136_126.059.png
39,Gal2023_DJIMini2_20230215_155136_88.689.png,1,21.9,607.22,201.07,421.05,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_155136/ind1/Gal2023_DJIMini2_20230215_155136_88.689.png
40,Gal2023_DJIMini2_20230215_174209_130.163.png,1,34.9,443.86,NA,291.24,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png
41,Gal2023_DJIMini2_20230215_174209_58.258.png,1,35.5,423.85,138.66,271.86,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind1/Gal2023_DJIMini2_20230215_174209_58.258.png
42,Gal2023_DJIMini2_20230215_174209_96.763.png,1,34.8,449.16,145.21,298.29,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_96.763.png
43,Gal2023_DJIMini2_20230215_174209_130.163.png,2,34.9,374.42,119.39,243.96,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png
44,Gal2023_DJIMini2_20230215_174209_434.501.png,2,20.8,579.49,205.2,375.84,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind2/Gal2023_DJIMini2_20230215_174209_434.501.png
45,Gal2023_DJIMini2_20230215_174209_96.763.png,2,34.8,380.21,NA,246.59,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_96.763.png
46,Gal2023_DJIMini2_20230215_174209_126.860.png,3,35.1,382.87,109.41,254.9,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/ind3/Gal2023_DJIMini2_20230215_174209_126.860.png
47,Gal2023_DJIMini2_20230215_174209_130.163.png,3,34.9,389.99,113.97,267.04,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_130.163.png
48,Gal2023_DJIMini2_20230215_174209_73.874.png,3,35.4,366.74,109.91,252.13,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_174209/Gal2023_DJIMini2_20230215_174209_73.874.png
49,Gal2023_DJIMini2_20230215_175516_271.705.png,1,20,577.37,NA,375.79,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_271.705.png
50,Gal2023_DJIMini2_20230215_175516_272.472.png,1,19.9,575.75,179.84,376.11,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/ind1/Gal2023_DJIMini2_20230215_175516_272.472.png
51,Gal2023_DJIMini2_20230215_175516_300.867.png,1,20,591.38,NA,367.48,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_300.867.png
52,Gal2023_DJIMini2_20230215_175516_271.705.png,2,19.9,463.02,NA,294.33,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_271.705.png
53,Gal2023_DJIMini2_20230215_175516_287.254.png,2,20,453.3,NA,287.24,1920,"cj
",D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/ind2/Gal2023_DJIMini2_20230215_175516_287.254.png
54,Gal2023_DJIMini2_20230215_175516_318.185.png,2,19.8,452.56,NA,281.44,1920,,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230215/Gal2023_DJIMini2_20230215_175516/Gal2023_DJIMini2_20230215_175516_318.185.png
55,Gal2023_DJIMini2_20230216_093838_34.301.png,1,25.2,555.67,179.87,359.96,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_34.301.png
56,Gal2023_DJIMini2_20230216_093838_37.571.png,1,24.3,568.2,190.26,370.43,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_37.571.png
57,Gal2023_DJIMini2_20230216_093838_34.301.png,2,25.2,611.29,191.03,407.65,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_34.301.png
58,Gal2023_DJIMini2_20230216_093838_37.571.png,2,24.3,643.84,200.8,416.29,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230216/Gal2023_DJIMini2_20230216_093838_37.571.png
59,Gal2023_DJIMini2_20230217_150226_107.941.png,1,126.9,112.34,NA,72.64,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_107.941.png
60,Gal2023_DJIMini2_20230217_150226_85.986.png,1,111.3,129.72,NA,82.84,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_85.986.png
61,Gal2023_DJIMini2_20230217_150226_107.941.png,2,126.9,111.23,NA,72.58,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_107.941.png
62,Gal2023_DJIMini2_20230217_150226_85.986.png,2,111.3,127.84,NA,78.58,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_85.986.png
63,Gal2023_DJIMini2_20230217_150226_107.941.png,3,126.9,126.71,NA,79.34,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_107.941.png
64,Gal2023_DJIMini2_20230217_150226_85.986.png,3,111.3,143.14,NA,87.48,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_85.986.png
65,Gal2023_DJIMini2_20230217_150226_107.941.png,4,126.9,115.43,31.61,72.44,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_107.941.png
66,Gal2023_DJIMini2_20230217_150226_85.986.png,4,111.3,130.98,37.82,85.53,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_85.986.png
67,Gal2023_DJIMini2_20230217_150226_85.986.png,5,126.9,139.11,NA,91.4,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_150226/Gal2023_DJIMini2_20230217_150226_85.986.png
68,Gal2023_DJIMini2_20230217_152121_191.491.png,1,120.5,112.85,NA,71.9,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_191.491.png
69,Gal2023_DJIMini2_20230217_152121_195.662.png,1,120.8,114.68,NA,66.9,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_195.662.png
70,Gal2023_DJIMini2_20230217_152121_207.474.png,1,120.7,116.15,NA,71.28,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_207.474.png
71,Gal2023_DJIMini2_20230217_152121_191.491.png,2,120.5,125.35,NA,81.18,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_191.491.png
72,Gal2023_DJIMini2_20230217_152121_195.662.png,2,120.8,125.68,NA,79.96,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_195.662.png
73,Gal2023_DJIMini2_20230217_152121_207.474.png,2,120.7,123.48,NA,62.1,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_207.474.png
74,Gal2023_DJIMini2_20230217_152121_344.244.png,3,38.1,408.84,126.9,265.41,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_344.244.png
75,Gal2023_DJIMini2_20230217_152121_350.584.png,3,37.8,407.84,118.51,264.69,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_350.584.png
76,Gal2023_DJIMini2_20230217_152121_363.129.png,3,37.8,442.47,130.51,283.09,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_363.129.png
77,Gal2023_DJIMini2_20230217_152121_378.445.png,4,31.4,476.21,138.78,304.05,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_378.445.png
78,Gal2023_DJIMini2_20230217_152121_388.755.png,4,30.2,503.79,145,312.28,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_388.755.png
79,Gal2023_DJIMini2_20230217_152121_405.572.png,4,30.4,503,NA,318.34,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_152121/Gal2023_DJIMini2_20230217_152121_405.572.png
80,Gal2023_DJIMini2_20230217_154240_278.411.png,1,50.6,295.32,NA,195.7,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_154240/Gal2023_DJIMini2_20230217_154240_278.411.png
81,Gal2023_DJIMini2_20230217_154240_301.468.png,1,50.7,294.66,NA,191.98,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_154240/Gal2023_DJIMini2_20230217_154240_301.468.png
82,Gal2023_DJIMini2_20230217_154240_338.672.png,1,50.6,301.87,NA,192.55,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_154240/Gal2023_DJIMini2_20230217_154240_338.672.png
83,Gal2023_DJIMini2_20230217_155721_488.355.png,1,121,121.57,42.9,78.72,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_155721/Gal2023_DJIMini2_20230217_155721_488.355.png
84,Gal2023_DJIMini2_20230217_155721_535.935.png,1,67.8,216.57,62.67,140.97,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_155721/Gal2023_DJIMini2_20230217_155721_535.935.png
85,Gal2023_DJIMini2_20230217_155721_548.281.png,1,44.2,310.65,89.3,199.93,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_155721/Gal2023_DJIMini2_20230217_155721_548.281.png
86,Gal2023_DJIMini2_20230217_155721_488.355.png,2,121,108.7,NA,71.22,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_155721/Gal2023_DJIMini2_20230217_155721_488.355.png
87,Gal2023_DJIMini2_20230217_155721_535.935.png,2,67.8,196.6,NA,126.03,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_155721/Gal2023_DJIMini2_20230217_155721_535.935.png
88,Gal2023_DJIMini2_20230217_155721_548.281.png,2,44.2,287.54,88.96,188.78,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_155721/Gal2023_DJIMini2_20230217_155721_548.281.png
89,Gal2023_DJIMini2_20230217_161415_100.601.png,1,122.2,98.66,30.52,62.79,1920,aj,D:/Gal2023_Drone/Galapagos2023_Drone_Snapshots/SpermWhale_AgeSex_Snapshots/20230217/Gal2023_DJIMini2_20230217_161415/Gal2023_DJIMini2_20230217_161415_100.601.png
