"","FileName","RawFileName","Keywords","Caption","ID","Q"
"1","Gal2023_DJIMini2_20230201_130107.MP4_00_03_55_vlc00001-1.jpg","Gal2023_DJIMini2_20230201_130107.MP4_00_03_55_vlc00001.png","cropped, ind1, male, top_stack","001","GAL2023_001",5
"2","Gal2023_DJIMini2_20230201_130107_120.120-2.jpg","Gal2023_DJIMini2_20230201_130107_120.120.png","cropped, ind1, male","001","GAL2023_001",3
"3","Gal2023_DJIMini2_20230201_130107_174.541-3.jpg","Gal2023_DJIMini2_20230201_130107_174.541.png","cropped, ind1, male","001","GAL2023_001",4
"4","Gal2023_DJIMini2_20230201_135502.MP4_00_03_26_vlc00002-4.jpg","Gal2023_DJIMini2_20230201_135502.MP4_00_03_26_vlc00002.png","cropped, ind1, male, top_stack","002","GAL2023_001",4
"5","Gal2023_DJIMini2_20230201_135502_244.377-5.jpg","Gal2023_DJIMini2_20230201_135502_244.377.png","cropped, ind1, male","002","GAL2023_001",4
"6","Gal2023_DJIMini2_20230201_135502_330.497-6.jpg","Gal2023_DJIMini2_20230201_135502_330.497.png","cropped, ind1, male, top_stack","002","GAL2023_001",4
"7","Gal2023_DJIMini2_20230201_154208.MP4_00_00_49_vlc00003-7.jpg","Gal2023_DJIMini2_20230201_154208.MP4_00_00_49_vlc00003.png","cropped, ind1, male, top_stack","003","GAL2023_001",3
"8","Gal2023_DJIMini2_20230201_154208_61.929-8.jpg","Gal2023_DJIMini2_20230201_154208_61.929.png","cropped, ind1, male, top_stack","003","GAL2023_001",3
"9","Gal2023_DJIMini2_20230201_182219.MP4_00_03_28_vlc00001-9.jpg","Gal2023_DJIMini2_20230201_182219.MP4_00_03_28_vlc00001.png","cropped, ind1, male, top_stack","004","GAL2023_002",3
"10","Gal2023_DJIMini2_20230201_182219_235.802-10.jpg","Gal2023_DJIMini2_20230201_182219_235.802.png","cropped, ind1, male","004","GAL2023_002",3
"11","Gal2023_DJIMini2_20230201_182219_67.568-11.jpg","Gal2023_DJIMini2_20230201_182219_67.568.png","cropped, ind1, male","004","GAL2023_002",3
"12","Gal2023_DJIMini2_20230208_084058_112.779-12.jpg","Gal2023_DJIMini2_20230208_084058_112.779.png","cropped, ind1, male","005","GAL2023_003",5
"13","Gal2023_DJIMini2_20230208_084058_138.005-13.jpg","Gal2023_DJIMini2_20230208_084058_138.005.png","cropped, ind1, male, top_stack","005","GAL2023_003",5
"14","Gal2023_DJIMini2_20230215_093319.MP4_00_01_39_vlc00002-14.jpg","Gal2023_DJIMini2_20230215_093319.MP4_00_01_39_vlc00002.png","cropped, ind1, top_stack","006","GAL2023_009",4
"15","Gal2023_DJIMini2_20230215_093319_107.574-15.jpg","Gal2023_DJIMini2_20230215_093319_107.574.png","cropped, ind1","006","GAL2023_009",3
"16","Gal2023_DJIMini2_20230215_093319_150.984-16.jpg","Gal2023_DJIMini2_20230215_093319_150.984.png","cropped, horizontal, ind1","006","GAL2023_009",4
"17","Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005-17.jpg","Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png","cropped, horizontal, ind1","007","GAL2023_011",3
"18","Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005-18.jpg","Gal2023_DJIMini2_20230215_094557.MP4_00_02_04_vlc00005.png","cropped, horizontal, ind2","008","GAL2023_063",2
"19","Gal2023_DJIMini2_20230215_094557_135.335-19.jpg","Gal2023_DJIMini2_20230215_094557_135.335.png","cropped, horizontal, ind1","007","GAL2023_011",4
"20","Gal2023_DJIMini2_20230215_094557_155.355-20.jpg","Gal2023_DJIMini2_20230215_094557_155.355.png","cropped, horizontal, ind1, multiple_whales","007","GAL2023_011",4
"21","Gal2023_DJIMini2_20230215_094557_155.355-21.jpg","Gal2023_DJIMini2_20230215_094557_155.355.png","cropped, horizontal, ind2, multiple_whales","008","GAL2023_063",3
"22","Gal2023_DJIMini2_20230215_094557_249.516-22.jpg","Gal2023_DJIMini2_20230215_094557_249.516.png","cropped, ind1, multiple_whales, top_stack","007","GAL2023_011",5
"23","Gal2023_DJIMini2_20230215_094557_249.516-23.jpg","Gal2023_DJIMini2_20230215_094557_249.516.png","cropped, ind2, multiple_whales, top_stack","008","GAL2023_063",3
"24","Gal2023_DJIMini2_20230215_094557_70.938-24.jpg","Gal2023_DJIMini2_20230215_094557_70.938.png","cropped, downward, ind1, multiple_whales","007","GAL2023_011",4
"25","Gal2023_DJIMini2_20230215_094557_70.938-25.jpg","Gal2023_DJIMini2_20230215_094557_70.938.png","ind2, multiple_whales","008","GAL2023_063",2
"26","Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001-26.jpg","Gal2023_DJIMini2_20230215_101509.MP4_00_06_40_vlc00001.png","cropped, ind1, top_stack","009","GAL2023_010",4
"27","Gal2023_DJIMini2_20230215_101509_271.905-27.jpg","Gal2023_DJIMini2_20230215_101509_271.905.png","cropped, ind1","009","GAL2023_010",3
"28","Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007-28.jpg","Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png","cropped, horizontal, ind1, multiple_whales","010","GAL2023_012",4
"29","Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007-29.jpg","Gal2023_DJIMini2_20230215_145125.MP4_00_09_30_vlc00007.png","cropped, horizontal, ind2, multiple_whales, top_stack","011","GAL2023_013",4
"30","Gal2023_DJIMini2_20230215_145125_367.767-30.jpg","Gal2023_DJIMini2_20230215_145125_367.767.png","cropped, horizontal, ind1, multiple_whales, top_stack","010","GAL2023_012",4
"31","Gal2023_DJIMini2_20230215_145125_489.756-31.jpg","Gal2023_DJIMini2_20230215_145125_489.756.png","cropped, horizontal, ind2","011","GAL2023_013",4
"32","Gal2023_DJIMini2_20230215_145125_542.509-32.jpg","Gal2023_DJIMini2_20230215_145125_542.509.png","cropped, horizontal, ind1, multiple_whales","010","GAL2023_012",3
"33","Gal2023_DJIMini2_20230215_145125_542.509-33.jpg","Gal2023_DJIMini2_20230215_145125_542.509.png","cropped, horizontal, ind2, multiple_whales","011","GAL2023_013",3
"34","Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003-34.jpg","Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003.png","cropped, ind1, multiple_whales","012","GAL2023_012",4
"35","Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003-35.jpg","Gal2023_DJIMini2_20230215_152449.MP4_00_03_05_vlc00003.png","cropped, ind2, multiple_whales","013","GAL2023_013",4
