"","imageName","timeStamp","LocalTime","altitude","ImageWidth","Date","videoLocalTime","minutes","seconds","datetime_utc6","OSD.height..m.","GIMBAL.pitch","nadir"
"31","DJI_0018.MP4_00_05_05_vlc00005.png","5:05","2023-04-08 08:34:48",69.9,3840,"2023-04-08",2023-04-08 08:34:48,5,5,2023-04-08 08:39:53,71.4,-89.9,TRUE
"32","DJI_0018.MP4_00_05_08_vlc00006.png","5:08","2023-04-08 08:34:48",69.8,3840,"2023-04-08",2023-04-08 08:34:48,5,8,2023-04-08 08:39:56,70.3,-89.9,TRUE
"33","DJI_0018.MP4_00_05_16_vlc00007.png","5:16","2023-04-08 08:34:48",57.5,3840,"2023-04-08",2023-04-08 08:34:48,5,16,2023-04-08 08:40:04,62,-89.9,TRUE
"34","DJI_0018.MP4_00_05_22_vlc00009.png","5:22","2023-04-08 08:34:48",53.1,3840,"2023-04-08",2023-04-08 08:34:48,5,22,2023-04-08 08:40:10,55.4,-90,TRUE
"35","DJI_0019.MP4_00_00_07_vlc00001.png","0:07","2023-04-08 08:40:16",50.9,3840,"2023-04-08",2023-04-08 08:40:16,0,7,2023-04-08 08:40:23,51.4,-90,TRUE
"36","DJI_0019.MP4_00_00_12_vlc00002.png","0:12","2023-04-08 08:40:16",51.5,3840,"2023-04-08",2023-04-08 08:40:16,0,12,2023-04-08 08:40:28,50.6,-90,TRUE
"37","DJI_0019.MP4_00_00_14_vlc00003.png","0:14","2023-04-08 08:40:16",50.8,3840,"2023-04-08",2023-04-08 08:40:16,0,14,2023-04-08 08:40:30,50.7,-90,TRUE
"38","DJI_0019.MP4_00_00_18_vlc00004.png","0:18","2023-04-08 08:40:16",51.3,3840,"2023-04-08",2023-04-08 08:40:16,0,18,2023-04-08 08:40:34,50.8,-89.9,TRUE
"39","DJI_0021.MP4_00_03_03_vlc00001.png","3:03","2023-04-08 08:50:39",89.7,3840,"2023-04-08",2023-04-08 08:50:39,3,3,2023-04-08 08:53:42,90.4,-90,TRUE
"40","DJI_0021.MP4_00_03_05_vlc00002.png","3:05","2023-04-08 08:50:39",89.5,3840,"2023-04-08",2023-04-08 08:50:39,3,5,2023-04-08 08:53:44,89.7,-90,TRUE
"41","DJI_0021.MP4_00_03_08_vlc00003.png","3:08","2023-04-08 08:50:39",89.8,3840,"2023-04-08",2023-04-08 08:50:39,3,8,2023-04-08 08:53:47,89.5,-89.9,TRUE
"42","DJI_0021.MP4_00_07_55_vlc00001.png","7:55","2023-02-15 09:45:57",25.9,1920,"2023-02-15",2023-02-15 09:45:57,7,55,2023-02-15 09:53:52,26.4,-64.4,FALSE
"43","DJI_0023.MP4_00_03_31_vlc00001.png","3:31","2023-02-15 10:07:34",27.5,1920,"2023-02-15",2023-02-15 10:07:34,3,31,2023-02-15 10:11:05,27.4,-68.1,FALSE
"44","DJI_0023.MP4_00_03_40_vlc00002.png","3:40","2023-02-15 10:07:34",27.4,1920,"2023-02-15",2023-02-15 10:07:34,3,40,2023-02-15 10:11:14,27.4,-68.1,FALSE
"45","DJI_0024.MP4_00_01_31_vlc00001.png","1:31","2023-04-08 09:15:11",30.7,3840,"2023-04-08",2023-04-08 09:15:11,1,31,2023-04-08 09:16:42,31.3,-77.7,FALSE
"46","DJI_0024.MP4_00_01_38_vlc00002.png","1:38","2023-04-08 09:15:11",31.2,3840,"2023-04-08",2023-04-08 09:15:11,1,38,2023-04-08 09:16:49,31.2,-90,TRUE
"47","DJI_0024.MP4_00_01_40_vlc00003.png","1:40","2023-04-08 09:15:11",30.8,3840,"2023-04-08",2023-04-08 09:15:11,1,40,2023-04-08 09:16:51,31.1,-89.9,TRUE
"48","DJI_0024.MP4_00_01_48_vlc00004.png","1:48","2023-04-08 09:15:11",30.6,3840,"2023-04-08",2023-04-08 09:15:11,1,48,2023-04-08 09:16:59,31,-89.9,TRUE
"49","DJI_0026.MP4_00_00_43_vlc00001.png","0:43","2023-02-15 10:46:17",53.3,1920,"2023-02-15",2023-02-15 10:46:17,0,43,2023-02-15 10:47:00,50.4,-89.9,TRUE
"50","DJI_0026.MP4_00_00_49_vlc00002.png","0:49","2023-02-15 10:46:17",53.4,1920,"2023-02-15",2023-02-15 10:46:17,0,49,2023-02-15 10:47:06,53.4,-89.9,TRUE
