"","VideoFile","TL.m","R.HF.m","n_photos"
"1","2024-07-25_P4P_1_Gully_063",14.375,0.386542578477333,2
"2","2024-09-18_INSP2_4_Arctic_005",12.82,0.391189167543115,1
