"","ID","mean_length","length_CI_low","length_CI_hi","sd_length","mean_R.HD","sd_R.HD","R.HD_CI_low","R.HD_CI_hi","mean_R.HF","sd_R.HF","R.HF_CI_low","R.HF_CI_hi","mean_fem_prob_hd","sd_fem_prob_hd","prob_hd_CI_low","prob_hd_CI_hi","mean_m_prob_hd","m_prob_hd_CI_low","m_prob_hd_CI_hi","mean_fem_prob_hf","sd_fem_prob_hf","prob_hf_CI_low","prob_hf_CI_hi","mean_m_prob_hf","m_prob_hf_CI_low","m_prob_hf_CI_hi","suckled_ever","suckling_ever","CI_width_HD","CI_width_HF","CI_width_HD_male","CI_width_HF_male","CV_length","CV_HD","CV_HF"
"1","GAL2023_001",14.6390295812819,14.316989429248,15.144320623668,0.262501082493423,0.707468280144686,0.0108782740291655,0.688025319857277,0.725015159420699,0.403373108489129,0.00556922739089034,0.397402450890528,0.414542404757669,0.00303205544920396,0.017362713656005,3.45244324784929e-08,0.0271779883311473,0.996967944550796,0.972822011668853,0.999999965475568,8.06502365194912e-13,9.32085465141132e-12,8.39561287108346e-21,3.74223224599224e-12,0.999999999999194,0.999999999996258,1,FALSE,FALSE,0.0271779538067148,3.74223223759663e-12,0.0271779538067149,3.74222874910402e-12,1.79315904128692,1.53763417166078,1.38066402387368
"2","GAL2023_002",16.0862414156813,15.807422221368,16.3371682110056,0.217160141911801,0.684629056245982,0.0186050317222929,0.658716005349978,0.700705937836205,0.38912291089918,0.00887196622947073,0.377842175657601,0.399392805034413,0.310235768436282,0.436362966857227,2.79703881066293e-05,0.999322643561072,0.689764231563718,0.000677356438928447,0.999972029611893,3.18869064032892e-08,1.69787378157041e-07,3.69404365474831e-18,2.88076941567676e-07,0.999999968113094,0.999999711923058,1,FALSE,FALSE,0.999294673172965,2.88076941563982e-07,0.999294673172965,2.88076941523663e-07,1.3499744054575,2.71753463463991,2.27999071269526
"3","GAL2023_004",15.191319014484,14.9409244149116,15.5066725003344,0.208868940654214,0.67306736973625,0.00782806151838611,0.665447101687277,0.686211682109474,0.408882651626902,0.0106025251129399,0.39727131719662,0.422155345590089,0.488049717792004,0.345655822315986,0.00513146367519749,0.973318605965187,0.511950282207996,0.0266813940348131,0.994868536324803,2.62360513081988e-13,2.99722152935052e-12,1.18800148347324e-23,1.26874398979046e-12,0.999999999999738,0.999999999998731,1,FALSE,FALSE,0.968187142289989,1.26874398977858e-12,0.968187142289989,1.26876287254163e-12,1.37492301001033,1.16304279041987,2.5930484139529
"4","GAL2023_006",12.5968505950197,12.4841060206352,12.6774587879984,0.0795587767164053,0.676646459733428,0.0102069309600946,0.666544331944474,0.691228416866339,0.354132267325565,0.00846912355762299,0.341859545982264,0.362133192470438,0.262974386886151,0.252975949414728,0.000998788523290735,0.806565633662451,0.737025613113849,0.193434366337549,0.999001211476709,0.00896308798610894,0.0228241976942008,1.38478645151717e-07,0.0774984381429131,0.991036912013891,0.922501561857087,0.999999861521355,FALSE,FALSE,0.805566845139161,0.077498299664268,0.805566845139161,0.0774982996642681,0.631576727184964,1.50845848866419,2.39151422760272
"5","GAL2023_007",12.8829278449772,12.696537417284,13.1814607595396,0.219765170024018,0.686611847350691,0.00758462712361935,0.677091646614782,0.695335930412509,0.380549282040851,0.00654012210173609,0.375502783918516,0.38947261042538,0.0552259525721589,0.0741240890575021,0.000248315066533442,0.253966178443331,0.944774047427841,0.746033821556669,0.999751684933467,2.97204908996377e-08,1.52192093291581e-07,4.51893373273888e-14,2.09815204803191e-07,0.999999970279509,0.999999790184795,0.999999999999955,FALSE,FALSE,0.253717863376798,2.09815159613854e-07,0.253717863376798,2.0981515957974e-07,1.70586354801095,1.10464553632228,1.71860056249798
"6","GAL2023_011",10.7997050208731,10.202234068808,11.5065666861304,0.538674406624735,0.647831689124882,0.00520903458044517,0.641282531042694,0.653853957245882,0.32455710564179,0.0161001886720537,0.30974593092497,0.346300391222997,0.889965699240328,0.0915939639162761,0.66337843639698,0.996530691863846,0.110034300759672,0.00346930813615358,0.33662156360302,0.641491253453195,0.46843413027702,0.000136484274836157,0.999659673834412,0.358508746546805,0.000340326165588294,0.999863515725164,TRUE,FALSE,0.333152255466867,0.999523189559576,0.333152255466867,0.999523189559576,4.9878622201589,0.804072210095457,4.96066436142776
"7","GAL2023_012",11.948530322142,11.7725549603744,12.0645845402544,0.112653579599004,0.6595062644856,0.00251440258596597,0.655756291587673,0.662167595198438,0.307305985877069,0.0133612080635018,0.291218098321162,0.320452771272443,0.734555760234759,0.16356646640683,0.381107304050487,0.97154194523436,0.265444239765241,0.02845805476564,0.618892695949513,0.990957499971522,0.0198862786890436,0.937995677203971,0.999999999364966,0.00904250002847814,6.35034359121319e-10,0.062004322796029,FALSE,FALSE,0.590434641183873,0.0620043221609947,0.590434641183873,0.0620043221609946,0.942823732808745,0.381255299815407,4.34785154782071
"8","GAL2023_013",11.3465956803459,10.918723987724,12.5230670119152,0.556414814225465,0.659002862220028,0.00575763213325259,0.65004520052597,0.667141500474834,0.287225556079814,0.00893251839990878,0.272373857645885,0.300663210499276,0.67503036644865,0.216802505329618,0.255072592920821,0.981430296184375,0.32496963355135,0.0185697038156245,0.744927407079179,0.999993550059019,2.27690980854567e-05,0.999949999335621,0.999999999833453,6.44994098096916e-06,1.66546797643609e-10,5.00006643787425e-05,FALSE,FALSE,0.726357703263555,5.00004978318813e-05,0.726357703263555,5.00004978319449e-05,4.90380401224009,0.873688486550188,3.109931623712
"9","GAL2023_014",10.4227540728918,10.0341206820784,10.905400690044,0.35989804458177,0.665317204985494,0.0204309690350582,0.646605086142466,0.693406014294654,0.325216247729104,0.0132889138348962,0.306768747245166,0.337736354384273,0.543167857076728,0.391783235932947,0.00154328385001112,0.97633889716138,0.456832142923272,0.0236611028386196,0.998456716149989,0.355356695721749,0.443272807729653,0.00394134232835011,0.999201555260922,0.644643304278251,0.000798444739078115,0.99605865767165,FALSE,FALSE,0.974795613311369,0.995260212932572,0.974795613311369,0.995260212932572,3.45300332392777,3.070861369879,4.08617771334889
"10","GAL2023_015",9.35273985248066,9.03110483114,9.6200065780784,0.24827022851801,0.651174544189224,0.00195039013399143,0.648570294569363,0.653252279635258,0.328168732387343,0.018364141316069,0.312357794181502,0.354104471172928,0.725151273691106,0.128962391418468,0.477472539812734,0.963823877834106,0.274848726308894,0.0361761221658942,0.522527460187266,0.372962601958542,0.293512404875474,1.9425649846507e-05,0.834029695327128,0.627037398041458,0.165970304672872,0.999980574350154,FALSE,FALSE,0.486351338021372,0.834010269677281,0.486351338021372,0.834010269677281,2.65451870183431,0.299518792833013,5.59594486119216
