"","correction_type","mean_err","sd_err","ci_lo","ci_hi","ci_width"
"1","altitude.err",2.34698642368099,1.9372772786078,-1.16800635525941,0.18054122917869,1.3485475844381
"2","altitude.err.nh",-3.54961945114559e-14,1.86313303482917,-3.90420582366558,-2.11209863952006,1.79210718414552
"3","altitude.err.rand",8.80421775000204e-15,1.52038062220147,-2.68410906245652,-1.72883237323484,0.95527668922168
"4","altitude.err.rand.int",8.58642119064084e-15,1.7460140137684,-3.74647621451061,-1.82133983789926,1.92513637661135
