,imageName,ind.x,video.whale.ID.x,date,altitude.raw,droneAltitude,TL.px,HF.px,HD.px,image_width,notes,mp4_file,ss_sec,altitude.c,TL.m,HD.m,HF.m,ratio.HD,ratio.HF,ratio.DF,Q.focus,Q.straightness,Q.roll,Q.arch,Q.pitch,Q.meas,Q.dorsal,Q.flippers,suckled,suckling,snapshot.ID,X,FileName,RawFileName,Keywords,Caption,ID,Q,ind.y,video.file,video.whale.ID.y,class,suckled_ever,suckling_ever
10,Gal2023_DJIMini2_20230201_182219_235.802.png,1,Gal2023_DJIMini2_20230201_182219_1,20230201,31.6,31.6,672.9,254.25,443.25,1920,,Gal2023_DJIMini2_20230201_182219.MP4,235,35.810195,15.80742222,10.41260202,5.972710804,0.658716005,0.377842176,0.573604061,2,2,1,1,1,1,1,2,FALSE,FALSE,Gal2023_DJIMini2_20230201_182219_235.802.png_1,10,Gal2023_DJIMini2_20230201_182219_235.802-10.jpg,Gal2023_DJIMini2_20230201_182219_235.802.png,"cropped, ind1, male",4,GAL2023_002,3,1,Gal2023_DJIMini2_20230201_182219,Gal2023_DJIMini2_20230201_182219_1,male,FALSE,FALSE
11,Gal2023_DJIMini2_20230201_182219_67.568.png,1,Gal2023_DJIMini2_20230201_182219_1,20230201,34.2,34.2,647.63,252.66,449.9,1920,,Gal2023_DJIMini2_20230201_182219.MP4,67,38.454395,16.33716821,11.3492148,6.373622161,0.694686781,0.390130167,0.561591465,2,2,2,1,1,1,1,2,FALSE,FALSE,Gal2023_DJIMini2_20230201_182219_67.568.png_1,11,Gal2023_DJIMini2_20230201_182219_67.568-11.jpg,Gal2023_DJIMini2_20230201_182219_67.568.png,"cropped, ind1, male",4,GAL2023_002,3,1,Gal2023_DJIMini2_20230201_182219,Gal2023_DJIMini2_20230201_182219_1,male,FALSE,FALSE
12,Gal2023_DJIMini2_20230208_084058_112.779.png,1,Gal2023_DJIMini2_20230208_084058_1,20230208,27.5,27.5,740.65,NA,511.33,1920,,Gal2023_DJIMini2_20230208_084058.MP4,112,31.640495,15.3730534,10.61324971,NA,0.690380072,NA,NA,1,2,2,2,1,1,1,3,FALSE,FALSE,Gal2023_DJIMini2_20230208_084058_112.779.png_1,12,Gal2023_DJIMini2_20230208_084058_112.779-12.jpg,Gal2023_DJIMini2_20230208_084058_112.779.png,"cropped, ind1, male",5,GAL2023_003,5,1,Gal2023_DJIMini2_20230208_084058,Gal2023_DJIMini2_20230208_084058_1,male,FALSE,FALSE
13,Gal2023_DJIMini2_20230208_084058_138.005.png,1,Gal2023_DJIMini2_20230208_084058_1,20230208,26.6,26.6,788.9,NA,544.47,1920,,Gal2023_DJIMini2_20230208_084058.MP4,138,30.725195,15.90085376,10.97418918,NA,0.690163519,NA,NA,1,1,1,1,1,1,1,3,FALSE,FALSE,Gal2023_DJIMini2_20230208_084058_138.005.png_1,13,Gal2023_DJIMini2_20230208_084058_138.005-13.jpg,Gal2023_DJIMini2_20230208_084058_138.005.png,"cropped, ind1, male, top_stack",5,GAL2023_003,5,1,Gal2023_DJIMini2_20230208_084058,Gal2023_DJIMini2_20230208_084058_1,male,FALSE,FALSE
163,Gal2023_DJIMini2_20230403_101842_111.778.png,1,Gal2023_DJIMini2_20230403_101842_1,20230403,15.6,15.6,2358.56,NA,1626.75,3840,,Gal2023_DJIMini2_20230403_101842.MP4,111,19.538195,15.11489771,10.42507286,NA,0.689721695,NA,NA,1,1,1,2,1,1,2,3,FALSE,FALSE,Gal2023_DJIMini2_20230403_101842_111.778.png_1,305,Gal2023_DJIMini2_20230403_101842_111.778-305.jpg,Gal2023_DJIMini2_20230403_101842_111.778.png,"cropped, horizontal, ind1, male, top_stack",102,GAL2023_004,3,1,Gal2023_DJIMini2_20230403_101842,Gal2023_DJIMini2_20230403_101842_1,male,FALSE,FALSE
164,Gal2023_DJIMini2_20230403_101842_46.947.png,1,Gal2023_DJIMini2_20230403_101842_1,20230403,45.9,45.9,913.19,365.29,612.36,3840,,Gal2023_DJIMini2_20230403_101842.MP4,46,50.353295,15.08213715,10.11366474,6.033086083,0.670572389,0.400015331,0.596528186,2,1,2,3,1,1,2,3,FALSE,FALSE,Gal2023_DJIMini2_20230403_101842_46.947.png_1,306,Gal2023_DJIMini2_20230403_101842_46.947-306.jpg,Gal2023_DJIMini2_20230403_101842_46.947.png,"cropped, horizontal, ind1, male",102,GAL2023_004,2,1,Gal2023_DJIMini2_20230403_101842,Gal2023_DJIMini2_20230403_101842_1,male,FALSE,FALSE
165,Gal2023_DJIMini2_20230403_101842_58.692.png,1,Gal2023_DJIMini2_20230403_101842_1,20230403,46.2,46.2,933.24,388.88,625.28,3840,,Gal2023_DJIMini2_20230403_101842.MP4,58,50.658395,15.5066725,10.38962344,6.46161202,0.670009858,0.416698813,0.621929376,2,1,1,1,1,1,1,2,FALSE,FALSE,Gal2023_DJIMini2_20230403_101842_58.692.png_1,307,Gal2023_DJIMini2_20230403_101842_58.692-307.jpg,Gal2023_DJIMini2_20230403_101842_58.692.png,"cropped, horizontal, ind1, male",102,GAL2023_004,2,1,Gal2023_DJIMini2_20230403_101842,Gal2023_DJIMini2_20230403_101842_1,male,FALSE,FALSE
166,Gal2023_DJIMini2_20230403_111058_108.175.png,1,Gal2023_DJIMini2_20230403_111058_1,20230403,19.7,19.7,1959.92,778.62,1344.92,3840,,Gal2023_DJIMini2_20230403_111058.MP4,108,23.707895,15.24070944,10.45835286,6.054696715,0.686211682,0.397271317,0.578934063,1,1,1,1,1,2,2,3,FALSE,FALSE,Gal2023_DJIMini2_20230403_111058_108.175.png_1,308,Gal2023_DJIMini2_20230403_111058_108.175-308.jpg,Gal2023_DJIMini2_20230403_111058_108.175.png,"cropped, horizontal, ind1, male",103,GAL2023_004,2,1,Gal2023_DJIMini2_20230403_111058,Gal2023_DJIMini2_20230403_111058_1,male,FALSE,FALSE
167,Gal2023_DJIMini2_20230403_111058_128.662.png,1,Gal2023_DJIMini2_20230403_111058_1,20230403,30.1,30.1,1402.5,NA,938.26,3840,,Gal2023_DJIMini2_20230403_111058.MP4,128,34.284695,15.77164539,10.5510902,NA,0.668991087,NA,NA,1,1,1,1,1,1,1,3,FALSE,FALSE,Gal2023_DJIMini2_20230403_111058_128.662.png_1,309,Gal2023_DJIMini2_20230403_111058_128.662-309.jpg,Gal2023_DJIMini2_20230403_111058_128.662.png,"cropped, horizontal, ind1, male, top_stack",103,GAL2023_004,3,1,Gal2023_DJIMini2_20230403_111058,Gal2023_DJIMini2_20230403_111058_1,male,FALSE,FALSE
168,Gal2023_DJIMini2_20230403_111058_139.940.png,1,Gal2023_DJIMini2_20230403_111058_1,20230403,30.6,30.6,1309.21,552.69,871.21,3840,,Gal2023_DJIMini2_20230403_111058.MP4,139,34.793195,14.94092441,9.942394848,6.30739111,0.665447102,0.422155346,0.634393545,1,1,1,3,1,1,2,3,FALSE,FALSE,Gal2023_DJIMini2_20230403_111058_139.940.png_1,310,Gal2023_DJIMini2_20230403_111058_139.940-310.jpg,Gal2023_DJIMini2_20230403_111058_139.940.png,"cropped, horizontal, ind1, male",103,GAL2023_004,2,1,Gal2023_DJIMini2_20230403_111058,Gal2023_DJIMini2_20230403_111058_1,male,FALSE,FALSE
