"","correction_type","mean_err","mean_err_p","quant_025","quant_975","ic_range","sd"
"1","length.corrected.0",-0.546828043606508,-4.54553652208236,-1.23223036503318,0.159630194269043,1.39186055930222,3.15557325958291
"2","length.corrected.nh",0.0150633350225869,0.125214754967472,-0.646323348962109,0.741906852569391,1.3882302015315,3.15326201393066
"3","length.corrected.rand",0.00529621064691183,0.0440250261588681,-0.613711015938852,0.589675967665075,1.20338698360393,2.72291399997153
"4","length.corrected.rand.int",0.00981357269504065,0.0815758328764809,-0.68733622153739,0.69666435162225,1.38400057315964,3.01773386730126
